x_m,y_m,z_m,cell_volume_m3,U_x_m_per_s,U_y_m_per_s,U_z_m_per_s,T_K,p_m2_per_s2,p_rgh_m2_per_s2,k_m2_per_s2,epsilon_m2_per_s3,nut_m2_per_s,alphat_m2_per_s
2.25,1.75,2.25,0.125,0.013152,0.00357771,0.0131487,300.67,-14.687,2.44601,3.91699e-05,2.37516e-07,0.000581374,0.000683914
2.75,1.75,2.25,0.125,0.0120626,0.00290151,0.0109293,300.669,-14.687,2.44611,3.49181e-05,1.94188e-07,0.000565096,0.000664771
3.25,1.75,2.25,0.125,0.00989385,0.00187988,0.00882569,300.668,-14.6869,2.44618,3.13428e-05,1.59411e-07,0.000554626,0.000652461
3.75,1.75,2.25,0.125,0.00701448,0.000453695,0.00657246,300.667,-14.6869,2.44624,2.81493e-05,1.2942e-07,0.000551031,0.00064822
4.25,1.75,2.25,0.125,0.00382131,-0.00110109,0.00399061,300.667,-14.6869,2.44628,2.48668e-05,9.93123e-08,0.000560375,0.00065922
4.75,1.75,2.25,0.125,0.00116289,-0.00199896,0.00134831,300.668,-14.6869,2.44625,2.19209e-05,7.17544e-08,0.000602711,0.000709042
5.25,1.75,2.25,0.125,-0.00134049,-0.00202668,0.00151285,300.668,-14.6869,2.44625,2.20712e-05,7.31867e-08,0.000599051,0.000704687
5.75,1.75,2.25,0.125,-0.00403593,-0.00120155,0.00425767,300.667,-14.6869,2.44628,2.50507e-05,1.01188e-07,0.000558155,0.00065658
6.25,1.75,2.25,0.125,-0.00724408,0.000262974,0.00682473,300.667,-14.6869,2.44625,2.83385e-05,1.31332e-07,0.000550332,0.000647405
6.75,1.75,2.25,0.125,-0.0101577,0.0016351,0.00908173,300.668,-14.6869,2.44618,3.1583e-05,1.61731e-07,0.00055508,0.000653008
7.25,1.75,2.25,0.125,-0.0123225,0.00260138,0.0111683,300.669,-14.687,2.44611,3.51792e-05,1.96771e-07,0.000566047,0.00066592
7.75,1.75,2.25,0.125,-0.0134325,0.00328191,0.013357,300.67,-14.687,2.44602,3.95156e-05,2.40951e-07,0.000583243,0.000686152
8.25,1.75,2.25,0.125,-0.0128709,0.00381548,0.015365,300.672,-14.687,2.44592,4.40823e-05,2.92247e-07,0.00059844,0.00070402
8.75,1.75,2.25,0.125,-0.0105059,0.00396092,0.0161012,300.675,-14.6869,2.4458,4.68375e-05,3.35257e-07,0.000588913,0.000692793
9.25,1.75,2.25,0.125,-0.00733589,0.0035272,0.0142836,300.677,-14.6869,2.44569,4.31887e-05,3.32779e-07,0.00050446,0.000593451
9.75,1.75,2.25,0.125,-0.00432584,0.00128853,0.00991563,300.68,-14.6869,2.44554,3.1018e-05,2.76914e-07,0.000312697,0.00036788
0.25,2.25,2.25,0.125,0.00527278,-0.00866477,-0.00157423,300.69,-19.5819,2.44487,4.12551e-05,4.24688e-07,0.000360684,0.000424273
0.75,2.25,2.25,0.125,0.0100236,-0.000495625,0.00616298,300.687,-19.582,2.445,4.52637e-05,3.71917e-07,0.000495787,0.000583216
1.25,2.25,2.25,0.125,0.0114879,0.00134591,0.0112793,300.685,-19.582,2.44513,4.54407e-05,3.21923e-07,0.000577271,0.000679066
1.75,2.25,2.25,0.125,0.0126396,0.00253867,0.0131226,300.683,-19.582,2.44523,4.31218e-05,2.7617e-07,0.000605982,0.000712838
2.25,2.25,2.25,0.125,0.0128915,0.00359071,0.0128896,300.681,-19.582,2.44536,3.89227e-05,2.29235e-07,0.000594795,0.00069968
2.75,2.25,2.25,0.125,0.01197,0.00406213,0.0116271,300.679,-19.582,2.44552,3.44382e-05,1.87328e-07,0.000569797,0.000670275
3.25,2.25,2.25,0.125,0.0100683,0.00365099,0.00998355,300.676,-19.582,2.44567,3.03671e-05,1.52087e-07,0.000545703,0.000641936
3.75,2.25,2.25,0.125,0.00761048,0.00249778,0.00801924,300.675,-19.582,2.4458,2.6811e-05,1.22196e-07,0.000529436,0.000622801
4.25,2.25,2.25,0.125,0.00470424,0.000875427,0.00551372,300.674,-19.582,2.44587,2.40787e-05,9.7601e-08,0.000534633,0.000628939
4.75,2.25,2.25,0.125,0.0017913,-0.00108186,0.00224472,300.673,-19.582,2.44593,2.26901e-05,7.8971e-08,0.000586743,0.00069029
5.25,2.25,2.25,0.125,-0.00171352,-0.00109869,0.00232771,300.673,-19.582,2.44592,2.28537e-05,8.00749e-08,0.00058703,0.000690594
5.75,2.25,2.25,0.125,-0.0046778,0.000813837,0.0056809,300.674,-19.582,2.44586,2.43649e-05,9.97138e-08,0.000535817,0.000630313
6.25,2.25,2.25,0.125,-0.00765677,0.00236163,0.0082127,300.675,-19.582,2.44579,2.71594e-05,1.24856e-07,0.000531708,0.000625483
6.75,2.25,2.25,0.125,-0.0101709,0.00342036,0.0101778,300.677,-19.582,2.44566,3.07832e-05,1.55295e-07,0.000549176,0.000646037
7.25,2.25,2.25,0.125,-0.0121133,0.00376095,0.011801,300.679,-19.582,2.44551,3.49413e-05,1.91249e-07,0.000574539,0.000675875
7.75,2.25,2.25,0.125,-0.0130877,0.0032959,0.0130261,300.681,-19.5821,2.44536,3.95321e-05,2.34126e-07,0.000600749,0.000706708
8.25,2.25,2.25,0.125,-0.012841,0.00236612,0.0132162,300.683,-19.582,2.44524,4.38647e-05,2.82483e-07,0.000613028,0.000721151
8.75,2.25,2.25,0.125,-0.0116113,0.00127559,0.0112824,300.685,-19.582,2.44514,4.63204e-05,3.30076e-07,0.000585022,0.000688206
9.25,2.25,2.25,0.125,-0.0101094,-0.000660645,0.00603171,300.687,-19.582,2.445,4.61714e-05,3.81934e-07,0.000502343,0.000590955
9.75,2.25,2.25,0.125,-0.00524505,-0.00904498,-0.00172795,300.69,-19.5819,2.44488,4.18444e-05,4.33854e-07,0.000363223,0.000427308
0.25,2.75,2.25,0.125,0.00261619,-0.0167057,-0.00809973,300.692,-24.4768,2.44468,5.50699e-05,6.55028e-07,0.000416688,0.000490158
0.75,2.75,2.25,0.125,0.0105144,-0.00245481,-0.000449707,300.691,-24.477,2.44461,5.58251e-05,5.05289e-07,0.000555088,0.000652988
1.25,2.75,2.25,0.125,0.0111131,0.00156035,0.00589217,300.689,-24.477,2.44474,4.99948e-05,3.7104e-07,0.000606277,0.000713211
1.75,2.75,2.25,0.125,0.0114928,0.00353335,0.00957189,300.688,-24.477,2.44484,4.56747e-05,2.95862e-07,0.000634608,0.000746531
2.25,2.75,2.25,0.125,0.0111915,0.00513968,0.0111928,300.686,-24.477,2.44494,4.06013e-05,2.39089e-07,0.00062053,0.00072996
2.75,2.75,2.25,0.125,0.0103609,0.00617446,0.011192,300.684,-24.477,2.44509,3.5039e-05,1.90517e-07,0.000579978,0.000682252
3.25,2.75,2.25,0.125,0.00885198,0.00612484,0.0102916,300.682,-24.477,2.44527,2.9965e-05,1.5071e-07,0.000536203,0.000630759
3.75,2.75,2.25,0.125,0.00689339,0.00512722,0.00876497,300.68,-24.477,2.44542,2.5557e-05,1.17821e-07,0.00049893,0.000586917
4.25,2.75,2.25,0.125,0.00446949,0.00364234,0.00673833,300.679,-24.477,2.44553,2.19916e-05,9.13845e-08,0.000476305,0.00056032
4.75,2.75,2.25,0.125,0.00189297,0.00217509,0.00401972,300.678,-24.477,2.44557,2.01268e-05,7.44464e-08,0.00048972,0.000576124
5.25,2.75,2.25,0.125,-0.00170423,0.0021509,0.00400385,300.678,-24.477,2.44556,2.01803e-05,7.4692e-08,0.000490711,0.000577283
5.75,2.75,2.25,0.125,-0.00431014,0.00361394,0.00677878,300.679,-24.477,2.44552,2.21641e-05,9.25483e-08,0.000477722,0.000561981
6.25,2.75,2.25,0.125,-0.00677107,0.0050572,0.00883447,300.68,-24.477,2.44542,2.58533e-05,1.19891e-07,0.000501749,0.000590246
6.75,2.75,2.25,0.125,-0.00878039,0.00599138,0.0103699,300.682,-24.477,2.44526,3.03762e-05,1.53618e-07,0.000540588,0.000635935
7.25,2.75,2.25,0.125,-0.0103423,0.00599707,0.0112602,300.684,-24.477,2.44509,3.55538e-05,1.94191e-07,0.000585849,0.000689181
7.75,2.75,2.25,0.125,-0.011228,0.00496531,0.0112428,300.686,-24.477,2.44494,4.12045e-05,2.43498e-07,0.000627534,0.000738225
8.25,2.75,2.25,0.125,-0.0115481,0.00340737,0.00961582,300.688,-24.477,2.44484,4.6372e-05,3.01267e-07,0.000642395,0.000755715
8.75,2.75,2.25,0.125,-0.0111263,0.00144443,0.00593389,300.689,-24.477,2.44475,5.08193e-05,3.78197e-07,0.000614586,0.000723002
9.25,2.75,2.25,0.125,-0.0105072,-0.00264997,-0.000412269,300.691,-24.477,2.44462,5.67619e-05,5.15167e-07,0.000562871,0.000662159
9.75,2.75,2.25,0.125,-0.00253607,-0.0170417,-0.00810556,300.691,-24.4768,2.4447,5.55819e-05,6.64188e-07,0.000418618,0.000492462
0.25,3.25,2.25,0.125,-0.000934825,-0.0234001,-0.0117061,300.691,-29.3717,2.44461,6.82241e-05,9.033e-07,0.000463753,0.000545567
0.75,3.25,2.25,0.125,0.009014,-0.00549445,-0.00345365,300.693,-29.3719,2.44433,7.11664e-05,6.75287e-07,0.000675,0.000794057
1.25,3.25,2.25,0.125,0.00924361,0.000867784,0.00254004,300.691,-29.3719,2.44445,5.79155e-05,4.37758e-07,0.000689601,0.000811251
1.75,3.25,2.25,0.125,0.00952768,0.00375387,0.00649706,300.69,-29.372,2.44455,5.13537e-05,3.33079e-07,0.000712588,0.000838287
2.25,3.25,2.25,0.125,0.00905697,0.00537539,0.0090615,300.689,-29.372,2.44465,4.59058e-05,2.71074e-07,0.000699665,0.000823077
2.75,3.25,2.25,0.125,0.00854093,0.00630538,0.0100886,300.687,-29.372,2.44477,3.97979e-05,2.20559e-07,0.000646306,0.000760301
3.25,3.25,2.25,0.125,0.00761843,0.00615323,0.0100902,300.686,-29.372,2.44491,3.39857e-05,1.78682e-07,0.000581775,0.000684392
3.75,3.25,2.25,0.125,0.00623136,0.00513546,0.00938442,300.684,-29.372,2.44505,2.90236e-05,1.44975e-07,0.000522939,0.000615183
4.25,3.25,2.25,0.125,0.00415335,0.00374169,0.00828117,300.683,-29.372,2.44515,2.5e-05,1.18092e-07,0.000476322,0.000560352
4.75,3.25,2.25,0.125,0.0017342,0.00267347,0.00648012,300.682,-29.372,2.4452,2.27724e-05,1.00989e-07,0.000462152,0.000543686
5.25,3.25,2.25,0.125,-0.00150686,0.00263819,0.00642797,300.682,-29.372,2.4452,2.27801e-05,1.00868e-07,0.000463017,0.000544704
5.75,3.25,2.25,0.125,-0.00392993,0.00370898,0.00823622,300.683,-29.372,2.44515,2.51106e-05,1.18688e-07,0.000478136,0.000562489
6.25,3.25,2.25,0.125,-0.00602437,0.00508915,0.00935984,300.684,-29.372,2.44505,2.92938e-05,1.46653e-07,0.000526628,0.000619541
6.75,3.25,2.25,0.125,-0.00745116,0.00606429,0.0100778,300.686,-29.372,2.44491,3.43998e-05,1.81324e-07,0.000587354,0.000690983
7.25,3.25,2.25,0.125,-0.00841684,0.00618703,0.0100845,300.687,-29.372,2.44477,4.03271e-05,2.23958e-07,0.000653537,0.000768845
7.75,3.25,2.25,0.125,-0.00896662,0.00525681,0.00907384,300.689,-29.372,2.44465,4.65193e-05,2.75031e-07,0.000708153,0.000833102
8.25,3.25,2.25,0.125,-0.00944902,0.00364562,0.00653797,300.69,-29.372,2.44456,5.20373e-05,3.37611e-07,0.000721862,0.000849232
8.75,3.25,2.25,0.125,-0.00914697,0.000739764,0.00260777,300.691,-29.3719,2.44445,5.86847e-05,4.43444e-07,0.000698962,0.000822283
9.25,3.25,2.25,0.125,-0.00894497,-0.00567028,-0.00339868,300.692,-29.3719,2.44434,7.19946e-05,6.83215e-07,0.000682787,0.000803221
9.75,3.25,2.25,0.125,0.00100809,-0.0236813,-0.0116771,300.691,-29.3717,2.44464,6.86358e-05,9.11464e-07,0.000465162,0.000547225
0.25,3.75,2.25,0.125,-0.00482221,-0.027182,-0.0151163,300.691,-34.2666,2.44468,8.04688e-05,1.15714e-06,0.000503629,0.000592499
0.75,3.75,2.25,0.125,0.00394788,-0.00727514,-0.00677973,300.695,-34.2668,2.44405,8.98099e-05,9.07353e-07,0.000800045,0.00094118
1.25,3.75,2.25,0.125,0.00429011,0.00345586,-0.00050241,300.693,-34.2668,2.44419,7.25749e-05,5.58843e-07,0.000848252,0.000997928
1.75,3.75,2.25,0.125,0.00543223,0.00703911,0.00297808,300.692,-34.2668,2.44431,7.00826e-05,4.96833e-07,0.000889717,0.00104672
2.25,3.75,2.25,0.125,0.00545658,0.00813425,0.00546255,300.691,-34.2668,2.44441,7.04538e-05,5.04923e-07,0.000884762,0.00104091
2.75,3.75,2.25,0.125,0.00583062,0.00875129,0.00676733,300.69,-34.2668,2.44449,6.8589e-05,5.09209e-07,0.000831487,0.000978245
3.25,3.75,2.25,0.125,0.00590343,0.00887216,0.00720954,300.689,-34.2668,2.44457,6.55206e-05,5.05203e-07,0.000764771,0.000899781
3.75,3.75,2.25,0.125,0.00553347,0.00880242,0.0070933,300.689,-34.2669,2.44464,6.11035e-05,4.81631e-07,0.000697686,0.000820877
4.25,3.75,2.25,0.125,0.00455677,0.00870488,0.00689702,300.688,-34.2669,2.44469,5.35701e-05,4.12835e-07,0.000625619,0.000736093
4.75,3.75,2.25,0.125,0.00241395,0.00899095,0.0064195,300.687,-34.2669,2.44476,4.31583e-05,3.04043e-07,0.000551362,0.000648708
5.25,3.75,2.25,0.125,-0.0020982,0.00895294,0.00636797,300.687,-34.2669,2.44477,4.30181e-05,3.0221e-07,0.000551107,0.000648396
5.75,3.75,2.25,0.125,-0.00429278,0.00867437,0.00681903,300.688,-34.2669,2.4447,5.37111e-05,4.13848e-07,0.000627379,0.000738152
6.25,3.75,2.25,0.125,-0.00528376,0.00878311,0.00702404,300.689,-34.2669,2.44464,6.15696e-05,4.85884e-07,0.000702171,0.000826165
6.75,3.75,2.25,0.125,-0.00568826,0.00883992,0.00715188,300.689,-34.2668,2.44457,6.62573e-05,5.1186e-07,0.000771896,0.000908198
7.25,3.75,2.25,0.125,-0.00564448,0.0087029,0.00672193,300.69,-34.2668,2.44449,6.95233e-05,5.17579e-07,0.000840478,0.000988875
7.75,3.75,2.25,0.125,-0.00528699,0.0080797,0.0054466,300.691,-34.2668,2.44442,7.14746e-05,5.1364e-07,0.000895131,0.00105316
8.25,3.75,2.25,0.125,-0.0052743,0.00698505,0.00300654,300.692,-34.2668,2.44432,7.10677e-05,5.04459e-07,0.000901075,0.00106013
8.75,3.75,2.25,0.125,-0.00412899,0.00338882,-0.000443391,300.693,-34.2668,2.4442,7.34121e-05,5.6455e-07,0.000859163,0.00101079
9.25,3.75,2.25,0.125,-0.00384312,-0.00739899,-0.0067387,300.694,-34.2668,2.44407,9.05551e-05,9.14764e-07,0.000806788,0.000949114
9.75,3.75,2.25,0.125,0.00488218,-0.0273766,-0.0150771,300.691,-34.2666,2.4447,8.08266e-05,1.16483e-06,0.000504763,0.000593824
0.25,4.25,2.25,0.125,-0.00903854,-0.0253215,-0.0193023,300.69,-39.1612,2.44502,9.34534e-05,1.44828e-06,0.000542725,0.000638506
0.75,4.25,2.25,0.125,-0.00597037,-0.0123006,-0.0131879,300.696,-39.1616,2.4439,0.000112221,1.38669e-06,0.000817352,0.000961604
1.25,4.25,2.25,0.125,-0.00764673,-0.00510843,-0.00810305,300.697,-39.1617,2.44369,0.000148335,1.74763e-06,0.00113313,0.00133314
1.75,4.25,2.25,0.125,-0.00353816,-0.000254995,-0.00403194,300.696,-39.1617,2.44374,0.000178746,2.11388e-06,0.00136031,0.00160048
2.25,4.25,2.25,0.125,-0.00268387,0.000854084,-0.00267964,300.696,-39.1617,2.4437,0.000209789,2.6997e-06,0.00146721,0.00172629
2.75,4.25,2.25,0.125,-0.000802243,0.000455313,-0.00198707,300.697,-39.1617,2.44358,0.000233271,3.21686e-06,0.00152241,0.00179127
3.25,4.25,2.25,0.125,0.000502528,-0.000529167,-0.00189571,300.698,-39.1618,2.44343,0.000248842,3.61005e-06,0.00154374,0.00181641
3.75,4.25,2.25,0.125,0.00128339,-0.00144598,-0.00204171,300.699,-39.1618,2.44329,0.000250763,3.73326e-06,0.00151594,0.00178371
4.25,4.25,2.25,0.125,0.00161762,-0.00202862,-0.0017125,300.699,-39.1618,2.44325,0.000226088,3.3059e-06,0.00139157,0.00163736
4.75,4.25,2.25,0.125,0.00100919,0.00123741,-0.000821605,300.697,-39.1619,2.44343,0.000175963,2.40101e-06,0.00116062,0.00136561
5.25,4.25,2.25,0.125,-0.000723999,0.00124452,-0.000857421,300.697,-39.1619,2.44344,0.000175075,2.38337e-06,0.00115744,0.00136183
5.75,4.25,2.25,0.125,-0.00132287,-0.00206891,-0.0018089,300.699,-39.1618,2.44326,0.00022584,3.30004e-06,0.00139099,0.00163661
6.25,4.25,2.25,0.125,-0.000982717,-0.00146193,-0.00215803,300.699,-39.1618,2.44329,0.000251338,3.74288e-06,0.00151898,0.00178723
6.75,4.25,2.25,0.125,-0.00021073,-0.000545317,-0.00202155,300.698,-39.1618,2.44343,0.000249997,3.62734e-06,0.00155068,0.00182456
7.25,4.25,2.25,0.125,0.00105502,0.000417303,-0.00210732,300.697,-39.1617,2.44358,0.000235048,3.24513e-06,0.00153223,0.00180285
7.75,4.25,2.25,0.125,0.00290002,0.000811626,-0.00276838,300.696,-39.1617,2.4437,0.000211819,2.73133e-06,0.00147842,0.0017395
8.25,4.25,2.25,0.125,0.00373403,-0.000305898,-0.0040831,300.696,-39.1617,2.44374,0.000180701,2.14243e-06,0.00137169,0.0016139
8.75,4.25,2.25,0.125,0.0078098,-0.00516051,-0.00814196,300.696,-39.1617,2.4437,0.000149833,1.76849e-06,0.00114249,0.00134418
9.25,4.25,2.25,0.125,0.00608293,-0.0123588,-0.0131862,300.695,-39.1616,2.44392,0.00011307,1.39816e-06,0.000822963,0.000968203
9.75,4.25,2.25,0.125,0.00908655,-0.0254143,-0.019265,300.69,-39.1612,2.44505,9.38113e-05,1.45656e-06,0.000543781,0.000639734
0.25,4.75,2.25,0.125,-0.0185161,-0.0136056,-0.0268096,300.686,-44.0556,2.44607,0.000106787,1.76908e-06,0.00058014,0.00068253
0.75,4.75,2.25,0.125,-0.0275118,-0.0030027,-0.0275604,300.694,-44.056,2.44445,0.000127354,2.3041e-06,0.00063353,0.00074535
1.25,4.75,2.25,0.125,-0.0353939,0.00172052,-0.0298861,300.7,-44.0562,2.44344,0.000145992,2.82804e-06,0.00067829,0.000798015
1.75,4.75,2.25,0.125,-0.0366517,0.00433239,-0.0327388,300.706,-44.0562,2.44256,0.000162942,3.33463e-06,0.000716573,0.000843059
2.25,4.75,2.25,0.125,-0.0362598,0.00614537,-0.0362561,300.713,-44.0561,2.44177,0.000179595,3.85874e-06,0.000752292,0.000885085
2.75,4.75,2.25,0.125,-0.0344689,0.00800697,-0.0406708,300.719,-44.056,2.44094,0.000194448,4.34721e-06,0.000782775,0.00092095
3.25,4.75,2.25,0.125,-0.0315252,0.0102839,-0.0455232,300.725,-44.056,2.44013,0.000206783,4.76738e-06,0.000807222,0.000949711
3.75,4.75,2.25,0.125,-0.026861,0.0129978,-0.0502614,300.731,-44.0559,2.43942,0.000215011,5.0547e-06,0.000823128,0.000968421
4.25,4.75,2.25,0.125,-0.0194238,0.0161131,-0.0539621,300.735,-44.0559,2.43895,0.000216845,5.11947e-06,0.000826638,0.000972547
4.75,4.75,2.25,0.125,-0.0103131,0.019751,-0.0542059,300.734,-44.056,2.43885,0.000210814,4.90734e-06,0.000815068,0.000958931
5.25,4.75,2.25,0.125,0.0106366,0.019671,-0.0542041,300.734,-44.056,2.43887,0.000210303,4.88926e-06,0.000814121,0.000957803
5.75,4.75,2.25,0.125,0.0196599,0.016086,-0.054031,300.734,-44.0559,2.43897,0.000216561,5.1091e-06,0.000826146,0.00097195
6.25,4.75,2.25,0.125,0.0270639,0.0129851,-0.0503416,300.731,-44.0559,2.43944,0.00021497,5.05296e-06,0.000823099,0.000968367
6.75,4.75,2.25,0.125,0.031708,0.010273,-0.0456023,300.725,-44.056,2.44015,0.000206935,4.77237e-06,0.000807561,0.000950088
7.25,4.75,2.25,0.125,0.0346401,0.00799569,-0.0407521,300.719,-44.056,2.44096,0.000194759,4.35746e-06,0.000783436,0.000921707
7.75,4.75,2.25,0.125,0.036417,0.00613506,-0.0363343,300.712,-44.0561,2.44179,0.000180021,3.87234e-06,0.000753211,0.000886148
8.25,4.75,2.25,0.125,0.036794,0.00432076,-0.0328076,300.706,-44.0562,2.44258,0.0001634,3.3486e-06,0.000717604,0.000844254
8.75,4.75,2.25,0.125,0.0355099,0.00170398,-0.0299357,300.7,-44.0562,2.44346,0.000146412,2.84017e-06,0.000679288,0.000799171
9.25,4.75,2.25,0.125,0.0275981,-0.00302872,-0.0275868,300.694,-44.0561,2.44448,0.000127701,2.31345e-06,0.000634414,0.000746372
9.75,4.75,2.25,0.125,0.0185687,-0.0136493,-0.0267952,300.685,-44.0556,2.4461,0.000107037,1.77522e-06,0.000580837,0.000683334
0.25,0.25,2.75,0.125,-0.000161795,-0.00216164,-0.00450391,300.593,-0.000425425,2.44771,4.60415e-06,1.57975e-08,0.000120768,0.000141092
0.75,0.25,2.75,0.125,9.36949e-06,-0.00329966,-0.00233105,300.592,-0.000423963,2.44772,8.52286e-06,3.96834e-08,0.000164742,0.000191383
1.25,0.25,2.75,0.125,4.84212e-05,-0.00354575,-0.000486703,300.595,-0.000417297,2.44771,1.13823e-05,6.17146e-08,0.000188937,0.00022228
1.75,0.25,2.75,0.125,0.000598983,-0.00317217,0.000816535,300.599,-0.000406728,2.44769,1.24234e-05,7.03065e-08,0.000197573,0.000232927
2.25,0.25,2.75,0.125,0.00186379,-0.00260482,0.00206828,300.601,-0.000403409,2.44767,1.22326e-05,6.85539e-08,0.000196447,0.000231053
2.75,0.25,2.75,0.125,0.00310282,-0.00190878,0.00309992,300.603,-0.000408962,2.44766,1.16105e-05,6.33837e-08,0.000191409,0.00022501
3.25,0.25,2.75,0.125,0.00396774,-0.00127606,0.00398766,300.603,-0.00041899,2.44764,1.07137e-05,5.62242e-08,0.000183737,0.000216316
3.75,0.25,2.75,0.125,0.0042042,-0.00081672,0.00492395,300.603,-0.000429107,2.44764,9.71095e-06,4.84733e-08,0.000175091,0.000205747
4.25,0.25,2.75,0.125,0.00345169,-0.000617561,0.0059873,300.602,-0.000435922,2.44764,8.7731e-06,4.16767e-08,0.000166209,0.000195792
4.75,0.25,2.75,0.125,0.00176271,-0.000727106,0.00695098,300.601,-0.000436827,2.44764,8.45013e-06,3.93993e-08,0.00016311,0.000192141
5.25,0.25,2.75,0.125,-0.00185766,-0.000706901,0.00700214,300.601,-0.000437368,2.44764,8.44003e-06,3.93108e-08,0.000163087,0.000191915
5.75,0.25,2.75,0.125,-0.00354232,-0.000591159,0.00610197,300.602,-0.000436897,2.44763,8.86481e-06,4.23236e-08,0.000167109,0.00019694
6.25,0.25,2.75,0.125,-0.00430888,-0.000823281,0.00502337,300.603,-0.000430433,2.44763,9.84042e-06,4.94715e-08,0.000176163,0.000207226
6.75,0.25,2.75,0.125,-0.00404434,-0.00132488,0.0040867,300.604,-0.000420529,2.44763,1.08359e-05,5.71708e-08,0.00018484,0.000217486
7.25,0.25,2.75,0.125,-0.00315164,-0.00201695,0.0031695,300.604,-0.000410756,2.44765,1.16898e-05,6.40579e-08,0.000191993,0.000225896
7.75,0.25,2.75,0.125,-0.00179044,-0.00278112,0.00222731,300.602,-0.000405543,2.44767,1.22548e-05,6.87533e-08,0.000196591,0.000231285
8.25,0.25,2.75,0.125,-0.000408768,-0.00340551,0.0011457,300.6,-0.000410659,2.44768,1.24674e-05,7.05546e-08,0.000198277,0.000233292
8.75,0.25,2.75,0.125,-2.40862e-05,-0.00364718,-0.000700441,300.595,-0.000421748,2.4477,1.12212e-05,6.02625e-08,0.000188051,0.000221269
9.25,0.25,2.75,0.125,-0.000115508,-0.00331615,-0.0025492,300.592,-0.000427438,2.44772,8.38429e-06,3.89438e-08,0.000162456,0.000191405
9.75,0.25,2.75,0.125,0.000122067,-0.00218247,-0.00463472,300.592,-0.000428536,2.44771,4.5882e-06,1.57668e-08,0.000120166,0.000141895
0.25,0.75,2.75,0.125,0.00140559,0.00171557,-0.000396461,300.642,-4.89632,2.44702,1.21287e-05,6.77536e-08,0.000195407,0.00023129
0.75,0.75,2.75,0.125,0.00354332,0.00273791,0.0039162,300.64,-4.89632,2.44704,2.45479e-05,1.53205e-07,0.000353995,0.000416527
1.25,0.75,2.75,0.125,0.00395001,0.00142642,0.00357308,300.638,-4.89631,2.44709,2.61179e-05,1.51479e-07,0.00040529,0.000476849
1.75,0.75,2.75,0.125,0.00322118,-0.000901515,0.00224604,300.637,-4.8963,2.44714,2.43266e-05,1.2525e-07,0.000425233,0.00050028
2.25,0.75,2.75,0.125,0.00269737,-0.00246937,0.00217432,300.639,-4.89628,2.44712,2.19489e-05,9.93789e-08,0.000436287,0.000513298
2.75,0.75,2.75,0.125,0.00261719,-0.00294272,0.00261545,300.642,-4.89626,2.44707,2.01678e-05,8.23307e-08,0.000444627,0.000523091
3.25,0.75,2.75,0.125,0.00286977,-0.00283281,0.00308192,300.644,-4.89625,2.44703,1.85035e-05,6.85453e-08,0.000449546,0.000528885
3.75,0.75,2.75,0.125,0.00308652,-0.00243956,0.0035632,300.646,-4.89625,2.44699,1.70114e-05,5.67787e-08,0.000458707,0.000539625
4.25,0.75,2.75,0.125,0.00269053,-0.00191364,0.00398311,300.647,-4.89625,2.44696,1.63936e-05,4.91192e-08,0.000492423,0.000579383
4.75,0.75,2.75,0.125,0.00117751,-0.00151041,0.00413282,300.647,-4.89625,2.44696,1.78787e-05,5.08517e-08,0.000565727,0.000665532
5.25,0.75,2.75,0.125,-0.00167263,-0.00153238,0.00421939,300.647,-4.89625,2.44696,1.76535e-05,5.05088e-08,0.000555314,0.000653376
5.75,0.75,2.75,0.125,-0.00305965,-0.00195375,0.00416956,300.647,-4.89625,2.44696,1.64233e-05,5.00354e-08,0.000485164,0.000570783
6.25,0.75,2.75,0.125,-0.00342661,-0.00249005,0.0037604,300.646,-4.89625,2.44699,1.71321e-05,5.80387e-08,0.000455139,0.00053544
6.75,0.75,2.75,0.125,-0.0031592,-0.00290627,0.00330015,300.644,-4.89625,2.44703,1.85701e-05,6.96852e-08,0.000445377,0.000523976
7.25,0.75,2.75,0.125,-0.00283703,-0.00307389,0.00283425,300.641,-4.89626,2.44708,2.0102e-05,8.30848e-08,0.000437723,0.000514989
7.75,0.75,2.75,0.125,-0.00291159,-0.00259725,0.00242876,300.639,-4.89628,2.44713,2.16824e-05,9.92969e-08,0.00042611,0.000501339
8.25,0.75,2.75,0.125,-0.0032914,-0.000753163,0.00308414,300.637,-4.8963,2.44715,2.40474e-05,1.25535e-07,0.000414586,0.000487765
8.75,0.75,2.75,0.125,-0.00401228,0.00177848,0.00414675,300.639,-4.89632,2.44709,2.63467e-05,1.54856e-07,0.000403427,0.000474632
9.25,0.75,2.75,0.125,-0.00364621,0.00299391,0.00419574,300.641,-4.89632,2.44703,2.49523e-05,1.57285e-07,0.000356266,0.000419175
9.75,0.75,2.75,0.125,-0.00148973,0.00192173,-0.00019396,300.642,-4.89632,2.44701,1.24299e-05,7.03176e-08,0.000197748,0.000232965
0.25,1.25,2.75,0.125,0.00224401,0.00557619,0.0108663,300.658,-9.79175,2.44653,2.09146e-05,1.53311e-07,0.000256784,0.000302282
0.75,1.25,2.75,0.125,0.00485853,0.00510322,0.0128826,300.657,-9.79175,2.44657,3.06044e-05,2.06586e-07,0.000408045,0.000480042
1.25,1.25,2.75,0.125,0.00725426,0.00397903,0.012625,300.656,-9.79175,2.44662,3.33375e-05,2.12458e-07,0.000470798,0.000553861
